'7774974002;Акции;
'7774949988;_Папки-карманы пластик с молнией;;Количество в упаковке, шт;Материал;Формат;Цвет;Толщина, мкм;Цвет молнии;Формат ориентирован;Карман для визитки;Вид застежки;Дополнительно
'7715005421;_Скоросшиватели пластиковые с пружинным механизмом;;Формат;Материал;Толщина материала, мкм;Цвет;Прозрачный верх;Карман для визитки;Механизм скоросшивателя;Количество в упаковке, шт;Дополнительно
'7774950835;_Ручки-корректоры;;Объем, мл;Наконечник;Количество в упаковке, шт;Дополнительно
'77745371;_Портфели кожзам;;Формат;Материал;Длина, см;Ширина, см;Цвет;Количество в упаковке, шт;Дополнительно
'77745418;_Дыроколы до 40 листов;;Материал корпуса;Цвет корпуса;Количество пробиваемых листов;Количество отверстий;Расстояние между отверстиями, мм;Диаметр пробиваемого отверстия, мм;Наличие линейки;Количество в упаковке, шт;Дополнительно
'7774959430;_Степлеры до 30 листов;;Материал корпуса;Цвет корпуса;Материал механизма;Количество скрепляемых листов, шт;Наличие антистеплера;Глубина захвата бумаги, мм;Тип и размер скоб;Вид сшивки;Индикатор уровня скоб;Тип загрузки скоб;Количество в упаковке, шт;Дополнительно
'7715010463;_Папки-распределители на резинке;;Высота, мм;Длина, мм;Дополнительно;Количество в упаковке, шт;Количество разделов;Материал;Толщина материала, мкм;Формат;Цвет;Ширина, мм
'7715005493;_Дыроколы до 25 листов;;Материал корпуса;Цвет корпуса;Количество пробиваемых листов;Количество отверстий;Расстояние между отверстиями, мм;Диаметр пробиваемого отверстия, мм;Наличие линейки;Количество в упаковке, шт;Дополнительно
'7774959183;_Дыроколы до 15 листов;;Материал корпуса;Цвет корпуса;Количество пробиваемых листов;Количество отверстий;Расстояние между отверстиями, мм;Диаметр пробиваемого отверстия, мм;Наличие линейки;Количество в упаковке, шт;Дополнительно
'7774959221;_Лотки вертикальные;;Материал;Цвет;Ширина, мм;Количество отделений;Регулировка ширины;Количество в упаковке, шт;Дополнительно
'7774959223;_Лотки горизонтальные;;Материал;Цвет;Длина, мм;Ширина, мм;Высота, мм;Количество в упаковке, шт;Дополнительно
'7774959057;_Боксы для бумаги;;Длина блока, мм;Ширина блока, мм;Длина, мм;Ширина, мм;Высота, мм;Материал диспенсера;Цвет;Наличие бумаги;Количество в упаковке, шт;Дополнительно
'7715011569;_Подставки для визиток, конвертов;
'7774959229;_Для канцелярских принадлежностей;;Материал корпуса;Цвет;Количество отделений;Количество в упаковке, шт;Дополнительно
'7774963312;_Самоклеящиеся карманы;
'7715005465;_Папка с прозрачными вкладышами;;Толщина, мм;Формат;Материал;Толщина материала, мкм;Цвет;Карман для визитки;Количество вкладышей, шт;Количество в упаковке, шт;Дополнительно
'7715011485;_Папка-карман с перф. с расширением;;Формат;Материал;Толщина, мм;Цвет;Вместимость, листов;Комплект;Дополнительно
'7774949974;_Папки-уголки стандартные;
'7715007657;_Папки с 2 кольцами;;Дополнительно;Формат;Ширина корешка, мм;Материал;Материал внутренней стороны обложки;Цвет;Карман для визитки;Диаметр кольца, мм;Количество колец, шт;Тип кольца;Количество в упаковке, шт
'7774949478;_Папки пластик с угловыми резинками;;Расположение резинок;Формат;Ширина корешка, мм;Материал;Цвет;Вместимость, листов;Количество в упаковке, шт;Дополнительно
'7774949989;_Папки-конверты пластик с кнопкой;;Формат;Материал;Толщина, мкм;Ширина корешка, мм;Цвет;Формат ориентирован;Вид застежки;Комплект;Количество в упаковке, шт;Дополнительно
'7774959165;_Портфель пластик 1-3 отд.;;Формат;Материал;Толщина материала, мкм;Цвет;Ширина, мм;Высота, мм;Количество отделений;Количество в упаковке, шт;Дополнительно
'7774963523;_Папки-распределители с угловыми резинками;
'7774959472;_Открытки;
'77748961;_Порошки стиральные;;Вид стирки;Вид белья;Назначение;Вид упаковки;Вес, кг;Объем, л;Состав;Количество в упаковке, шт;Дополнительно
'7774972818;_Горшки для цветов, кашпо;;Высота, мм;Диаметр, мм;Дополнительно;Материал
'77748471;_Флеш-диски;;Тип;Объем памяти, Гб;Скорость записи, Мб/с;Скорость чтения, Мб/с;Материал корпуса;Цвет корпуса;Количество в упаковке, шт;Дополнительно
'7774953271;_Мультимедиа проекторы;;Тип изделия;Технология проецирования;Контрастность;Световой поток, люмен;Разрешение;Размер изображения мин/мах, м;Ресурс лампы, часов;Мощность лампы, Вт;Проекционное расстояние, м;Длина, см;Ширина, см;Высота, см;Вес, кг;Количество в упаковке, шт;Дополнительно
'7774950062;_Мешки для мусора до  60 л;;Материал;Цвет;Плотность, мкм;Объем, л;Вид упаковки;Количество в упаковке, шт;Дополнительно
'7774950612;_Тетради 48-96 листов;;Формат;Количество листов, шт;Крепление листов;Вид линовки;Поля;Вид бумаги;Плотность бумаги, г/кв.м;Материал обложки;Вид обложки;Ширина, мм;Длина, мм;Дополнительно
'7715012227;_Маркеры перманентные скошенные;;Цвет чернил;Форма наконечника;Толщина линии письма, мм;Материал корпуса;Комплект;Количество в упаковке, шт;Дополнительно
'7774951277;_Батарейки тип D;;Типоразмер элемента питания;Вид;Напряжение, В;Количество в упаковке, шт;Дополнительно
'7774951276;_Батарейки тип C;;Типоразмер элемента питания;Вид;Напряжение, В;Количество в упаковке, шт;Дополнительно
'7774951268;_Батарейки тип AA;;Типоразмер элемента питания;Вид;Напряжение, В;Количество в упаковке, шт;Дополнительно
'7774951269;_Батарейки тип AAA;;Вид;Напряжение, В;Количество в упаковке, шт;Типоразмер элемента питания;Дополнительно
'7774976131;_Серия ДИН-Р;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774965448;_Шкафы для одежды;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7715007659;_Папки с 4 кольцами;;Дополнительно;Количество в упаковке, шт;Формат;Ширина корешка, мм;Материал;Материал внутренней стороны обложки;Цвет;Карман для визитки;Диаметр кольца, мм;Количество колец, шт;Тип кольца
'77746462;_Пятновыводители;;Назначение;Вид упаковки;Вес, г;Объем, мл;Состав;Количество в упаковке, шт;Дополнительно
'7774959540;_Прочее;
'7774950815;_Линейки фигурные, треугольники, транспортиры;;Длина, мм;Материал;Цвет;Количество в упаковке, шт;Дополнительно
'7774970012;_Сахарницы;;Диаметр, см;Длина, мм;Дополнительно;Объем, мл;Цвет
'7717894914;_Ручки подарочные;;Тип стержня;Материал корпуса;Цвет корпуса;Толщина пера, мм;Диаметр шарика, мм;Наличие конвертера;Способ заправки;Вид упаковки;Дополнительно
'7774950550;_Альбомы для черчения и рисования;;Плотность блока, г/кв.м;Длина, мм;Ширина, мм;Количество листов, шт;Крепление листов;Материал обложки;Количество в упаковке, шт;Дополнительно
'7774976154;_Серия ДУГЛАС;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774976156;_Серия КОМПАКТ;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774976169;_Серия МАСТЕР;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774976168;_Серия ПАТРИОТ;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774976153;_Серия ПРЕМЬЕР;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774976150;_Серия ПРЕСТИЖ;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774972871;_Серия SIMPLE;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774974612;_Серия  IMAGO;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774976141;_Серия BORN;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774950399;_Уличный инвентарь;;Материал;Цвет;Длина, см;Ширина, см;Высота, см;Диаметр, см;Количество в упаковке, шт;Дополнительно
'7774976129;_Серия ФАВОРИТ;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'7774965439;_Под оргтехнику;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество ящиков;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'77748472;_Карты памяти;;Класс;Объем памяти, Гб;Тип;Наличие адаптера
'77745871;_БОНУСЫ;;Дополнительно
'7774950559;_Чай черный;;Количество в упаковке, шт;Упаковка;Тип чая;Вид чая;Вес нетто, г;Дополнительно
'7715008227;_Чай зеленый, белый;;Количество в упаковке, шт;Упаковка;Тип чая;Вид чая;Вес нетто, г;Дополнительно
'7774959255;_Товары для школы прочие;;Дополнительно
'7774953277;_Лампы энергосберегающие;;Тип;Мощность, Вт;Цоколь;Цветовая температура, К;Высота, см;Цвет свечения;Количество в упаковке, шт;Дополнительно
'7715007963;_Блокноты формата А5;;Формат;Количество листов, шт;Крепление листов;Место крепления;Вид линовки;Вид бумаги;Плотность бумаги, г/кв.м;Материал обложки;Вид обложки;Количество в упаковке, шт;Дополнительно
'77748732;_Ложки, вилки, ножи;;Диаметр, см;Длина, мм;Дополнительно;Объем, мл;Цвет;Материал;Цвет;Длина, мм;Количество в упаковке, шт;Дополнительно
'7774970016;_Сервировка стола;;Диаметр, см;Длина, мм;Дополнительно;Объем, мл;Цвет
'7774970010;_Чайники заварочные и френч-прессы;;Диаметр, см;Длина, мм;Дополнительно;Объем, мл;Цвет
'7774950113;_Прочее;;Длина, мм;Дополнительно;Материал;Цвет;Ширина, мм
'7715012267;_Бумага для заметок в боксах;;Плотность, г/кв.м;Материал производства;Цвет;Длина, мм;Ширина, мм;Высота, мм;Материал диспенсера;Цвет диспенсера;Количество в упаковке, шт;Дополнительно
'7774950608;_Тетради свыше 100 листов;;Формат;Количество листов, шт;Крепление листов;Вид линовки;Поля;Вид бумаги;Плотность бумаги, г/кв.м;Материал обложки;Вид обложки;Ширина, мм;Длина, мм;Количество в упаковке, шт;Дополнительно
'77748113;_Тетради 12-24 листа;;Формат;Количество листов, шт;Крепление листов;Вид линовки;Поля;Вид бумаги;Плотность бумаги, г/кв.м;Материал обложки;Вид обложки;Ширина, мм;Длина, мм;Количество в упаковке, шт;Дополнительно
'7774959072;_Блокноты формата А4;;Формат;Количество листов, шт;Крепление листов;Место крепления;Вид линовки;Вид бумаги;Плотность бумаги, г/кв.м;Материал обложки;Вид обложки;Количество в упаковке, шт;Дополнительно
'7774950474;_Блокноты формата А6;;Формат;Количество листов, шт;Крепление листов;Место крепления;Вид линовки;Вид бумаги;Плотность бумаги, г/кв.м;Материал обложки;Вид обложки;Количество в упаковке, шт;Дополнительно
'7715007971;_Блокноты формата А7;;Формат;Количество листов, шт;Крепление листов;Место крепления;Вид линовки;Вид бумаги;Плотность бумаги, г/кв.м;Материал обложки;Вид обложки;Количество в упаковке, шт;Дополнительно
'7715008612;_Мешки для уничтожителей;;Ширина входного отверстия, мм;Объем, л;Количество в упаковке, шт;Дополнительно
'7774950668;_Грамоты, дипломы;;Плотность, г/кв.м
'77746443;_Средства для прочистки труб;;Назначение;Аромат;Вес, г;Объем, мл;Состав;Количество в упаковке, шт;Дополнительно
'7774949477;_Средства для мытья пола;;Назначение;Аромат;Вес, г;Объем, мл;Состав;Количество в упаковке, шт;Дополнительно
'77746586;_Средства универсальные;;Назначение;Аромат;Вес, г;Объем, мл;Состав;Количество в упаковке, шт;Дополнительно
'7774949484;_Средства по уходу за мебелью;;Назначение;Аромат;Вес, г;Объем, мл;Состав;Количество в упаковке, шт;Дополнительно
'7774949486;_Средства по уходу за коврами;;Назначение;Аромат;Вес, г;Объем, мл;Состав;Количество в упаковке, шт;Дополнительно
'7774948686;_Инфракрасные детекторы;;Дисплей;Инфракрасная детекция;Детекция по размеру банкноты;Ультрафиолетовая детекция;Автоматическое вкл/откл;Дополнительно;Звуковой сигнал;Длина, мм;Ширина, мм;Высота, мм;Вес, кг;Магнитная детекция;Детекция на просвет;Лупа
'7774952941;_Уничтожители бумаг (до 20 пользователей);;Ширина входного отверстия, мм;Тип резки;Класс секретности;Размер фрагментов, мм;Производительность, лист;Уровень шума, дБ;Объем корзины, л;Уничтожение скрепок;Уничтожение скоб;Уничтожение дисков;Уничтожение пластиковых карт;Длина, см;Ширина, см;Высота, см;Вес, кг;Дополнительно
'7715008348;_Вешалки напольные;;Высота, мм;Количество в упаковке, шт;Материал;Цвет;Диаметр основания, мм;Количество крючков, шт;Требуется сборка;Дополнительно
'7774967789;_Приправы;
'7774959104;_Сухофрукты, орехи;;Вес нетто, г;Упаковка;Количество в упаковке, шт;Дополнительно
'7774960788;_Продукты быстрого приготовления;;Вес нетто, г;Упаковка;Вкус
'7774967788;_Чипсы;
'7774958757;_Этикет-пистолеты;;Количество строк;Тип ленты;Количество в упаковке, шт;Дополнительно
'7774958756;_Расходные материалы для принтеров;;Материал;Цвет;Длина этикетки, мм;Ширина этикетки, мм;Длина намотки, м;Предназначен для устройств;Комплект;Количество в упаковке, шт;Дополнительно
'7774958755;_Принтеры ленточные;;Алфавит клавиатуры;Тип ленты;Цвет корпуса;Длина, см;Ширина, см;Высота, см;Количество размеров шрифта;Объем памяти, Мб;Тип питания;Количество в упаковке, шт;Дополнительно
'7774972517;_Диваны;;Тип опоры/каркаса;Механизм трансформации;Высота, мм;Глубина, мм;Материал обивки;Требуется сборка;Цвет обивки;Ширина, мм
'7774972292;_Кресла;;Тип опоры/каркаса;Механизм трансформации;Высота, мм;Материал обивки;Требуется сборка;Цвет обивки;Ширина, мм;Глубина, мм
'77748519;_Штемпельные подушки;;Совместимый штамп;Количество оттисков;Цвет;Дополнительно
'7715005425;_Скоросшиватели пластиковые;;Дополнительно
'7774950045;_Кресла и  стулья для посетителей;;Высота, мм;Глубина, мм;Требуется сборка;Ширина, мм;Тип;Материал ножек;Цвет ножек;Материал обивки;Цвет обивки;Наличие подлокотников;Материал подлокотников;Механизм качания;регулировка высоты;Количество в упаковке, шт;Дополнительно
'7774976176;_Серия ТЕЗИС;;Вес, кг;Высота, мм;Глубина, мм;Дополнительно;Количество полок;Материал;Назначение;Требуется сборка;Цвет;Ширина, мм
'77748275;_Наборы подарочные;;Вид упаковки;Диаметр шарика, мм;Дополнительно;Материал корпуса;Цвет корпуса
'7774950160;_Чернила, тушь;;Цвет;Объем, мл;Комплект;Количество в упаковке, шт;Дополнительно
'7774955856;_Карандаши автоматические 0,5 мм;;Материал корпуса;Цвет корпуса;Диаметр грифеля, мм;Наличие резиновой манжеты в зоне захвата;Наличие рифления в зоне захвата;Наличие ластика;Количество в упаковке, шт;Дополнительно
'7774959399;_Карандаши подарочные;
'7715009934;_Грифели;;Диаметр грифеля, мм;Твердость грифеля;Комплект;Количество в упаковке, шт;Дополнительно
'7774950595;_Стержни шариковые;;Тип стержня;Наличие упоров;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Длина стержня, мм;Комплект;Количество в упаковке, шт;Дополнительно
'7715007830;_Стержни гелевые;;Тип стержня;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Длина стержня, мм;Комплект;Количество в упаковке, шт;Дополнительно
'7774959325;_Стержни роллеры;;Тип стержня;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Длина стержня, мм;Количество в упаковке, шт;Дополнительно
'7774950259;_Ручки шариковые простые;;Тип стержня;Возможность замены стержня;Материал корпуса;Цвет корпуса;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Наличие резиновой манжеты в зоне захвата;Наличие рифления в зоне захвата;Комплект;Количество в упаковке, шт;Дополнительно
'7717895029;_Ручки шариковые на подставке;;Тип стержня;Возможность замены стержня;Материал корпуса;Цвет корпуса;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Наличие резиновой манжеты в зоне захвата;Наличие рифления в зоне захвата;Комплект;Количество в упаковке, шт;Дополнительно
'7774950269;_Ручки шариковые автоматические;;Тип стержня;Возможность замены стержня;Материал корпуса;Цвет корпуса;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Наличие резиновой манжеты в зоне захвата;Наличие рифления в зоне захвата;Комплект;Количество в упаковке, шт;Дополнительно
'7774950660;_Ручки гелевые простые;;Тип стержня;Возможность замены стержня;Материал корпуса;Цвет корпуса;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Наличие резиновой манжеты в зоне захвата;Наличие рифления в зоне захвата;Комплект;Количество в упаковке, шт;Дополнительно
'7715007816;_Набор ручек гелевых;;Тип стержня;Возможность замены стержня;Материал корпуса;Цвет корпуса;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Наличие резиновой манжеты в зоне захвата;Наличие рифления в зоне захвата;Комплект;Количество в упаковке, шт;Дополнительно
'7774950662;_Ручки гелевые автоматические;;Тип стержня;Возможность замены стержня;Материал корпуса;Цвет корпуса;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Наличие резиновой манжеты в зоне захвата;Наличие рифления в зоне захвата;Комплект;Количество в упаковке, шт;Дополнительно
'7717894931;_Ручки роллеры;;Возможность замены стержня;Диаметр шарика, мм;Дополнительно;Количество в упаковке, шт;Материал корпуса;Тип стержня;Цвет корпуса
'7774950198;_Ручки капиллярные (линеры);;Возможность замены стержня;Диаметр шарика, мм;Дополнительно;Количество в упаковке, шт;Материал корпуса;Тип стержня;Цвет корпуса;Возможность замены стержня;Материал корпуса;Цвет корпуса;Цвет чернил;Диаметр шарика, мм;Толщина линии письма, мм;Наличие резиновой манжеты в зоне захвата;Наличие рифления в зоне захвата;Комплект;Количество в упаковке, шт;Дополнительно
'7715013030;_Ластики офисные;;Длина, мм;Ширина, мм;Высота, мм;Материал;Цвет;Количество в упаковке, шт;Дополнительно
'7774950834;_Корректирующие машинки;;Ширина ленты, мм;Длина ленты, м;Возможность замены ленты;Количество в упаковке, шт;Дополнительно
'77748505;_Датеры;;Вид штампа;Размер шрифта, мм;Печать месяца;Количество строк;Длина, мм;Ширина поля, мм;Автоматический;Материал корпуса;Сменная подушка;Количество в упаковке, шт;Дополнительно
'77748492;_Штампы самонаборные;;Длина поля, мм;Ширина поля, мм;Количество строк;Количество знаков в строке;Касса букв, цифр, символов;Алфавит кассы;Сменная подушка;Материал корпуса;Количество в упаковке, шт;Состав Комплекта;Дополнительно
'77748476;_Оснастки для печатей;;Вид штампа;Материал корпуса;Цвет корпуса;Форма;Диаметр печати, мм;Сменная подушка;Количество в упаковке, шт;Дополнительно
'77746093;_Оснастки для штампов;;Вид штампа;Материал корпуса;Цвет корпуса;Форма;Длина, мм;Ширина поля, мм;Сменная подушка;Количество в упаковке, шт;Дополнительно
'7715007587;_Штампы стандартные;
'77748496;_Печати самонаборные;;Диаметр печати, мм;Количество кругов, шт;Материал корпуса;Сменная подушка;Количество в упаковке, шт;Дополнительно
'7774959225;_Лотки универсальный и подвесные;;Материал;Цвет;Количество отделений;Состав Комплекта;Количество в упаковке, шт;Дополнительно
'7774959187;_Скрепочницы;;Материал;Цвет;Состав Комплекта;Количество в упаковке, шт;Дополнительно
'7774950384;_Салфетки, тряпки, губки универсальные;;Длина, см;Ширина, см;Цвет;Состав;Назначение;Комплект;Количество в упаковке, шт;Дополнительно
'7774949459;_Средства для посудомоечных машин;;Назначение;Аромат;Вес, г;Объем, мл;Состав;Комплект;Количество в упаковке, шт;Дополнительно
'7717895075;_Обогреватели;;Тип;Мощность, Вт;Регулировка мощности;Количество секций;Площадь обогрева, кв.м;Наличие термостата;Наличие таймера;Наличие вентилятора;Длина, см;Ширина, см;Высота, см;Количество в упаковке, шт;Дополнительно
'7774959881;_Мыльницы;;Материал;Длина, см;Ширина, мм;Высота, мм;Количество в упаковке, шт;Дополнительно
'7774969704;_Визитница кожа;
'7717895070;_Чайники;;Материал корпуса;Цвет корпуса;Объем, л;Тип нагревательного элемента;Мощность, Вт;Вес, кг;Количество в упаковке, шт;Дополнительно
'77745374;_Товары для опечатывания;;Материал;Комплект;Вес, г;Длина, мм;Количество в упаковке, шт;Дополнительно
'7774972119;_Взломостойкие;;Внутренняя глубина, мм;Объем, л;Цвет;Тип покрытия;Тип;Класс огнестойкости;Тип замка;Класс взломостойкости;Внутренняя высота, мм;Внутренняя ширина, мм;Количество полок;Трейзер (кассовое отделение с доп.ключом);Внешняя высота, мм;Внешняя ширина, мм;Внешняя глубина, мм;Вес, кг;Дополнительно
'7774953108;_Универсальные книги учета;;Формат;Количество листов, шт;Крепление листов;Вид бумаги;Материал обложки;Вид обложки;Количество в упаковке, шт;Дополнительно
'7774959369;_Бумага плоттерная для монохромной печати;;Плотность, г/кв.м;Формат;Длина, м;Ширина, мм;Количество листов, шт;Ширина рулона, мм;Диаметр втулки, мм;Длина рулона, м;Количество в упаковке, шт;Дополнительно
'7715008369;_Кресла для руководителей;;Максимальная нагрузка, кг;Высота кресла, мм;Ширина крестовины, мм;Ширина сидения, мм;Высота спинки, мм;Глубина сидения, мм;Требуется сборка;Тип;Материал крестовины;Цвет крестовины;Материал обивки;Цвет обивки;Материал подлокотников;Цвет подлокотников;Механизм качания;регулировка высоты;Количество в упаковке, шт;Дополнительно
'7774960028;_Картриджи к струйным принтерам Lexmark;
'7774951290;_Баллоны с сжатым воздухом;;Количество в упаковке, шт;Состав Комплекта
'7774953743;_Сливки;;Жирность, %;Объем, л;Вес нетто, г;Упаковка;Количество в упаковке, шт;Дополнительно
'7774973770;_Щётки для пола;;Длина черенка, см;Материал;Цвет;Длина черенка, мм;Длина, см;Ширина, см;Высота, см;Количество в упаковке, шт;Дополнительно
'7714994381;_Расходные материалы для факсов;;Тип;Цвет;Длина намотки, м;Ресурс при 5% заполнения листа, стр;Предназначен для устройств;Комплект;Количество в упаковке, шт;Дополнительно
